Reporting Date,Furnace,cast,coke_rate_day,coke_rate_cum,productivity_day,productivity_cum,sinter_burden_day,sinter_burden_cum,temperature,Charge,Last-Si,Last-Mn,Last-S,PCI_day,PCI_cum,Coke_ratio_day,Coke_ratio_cum,Hot_metal_day,Hot_Metal_cum,Character Field Length = 10,PCI_day,PCI_cum,Sinter_day,sinter_cum,coke_day,coke_cum,nut_coke_day,nut_coke_cum,nut_coke_rate_day,nut_coke_rate_cum,Ironore_day,Ironore_cum,Sulpher_min,Sulpher_max,H2_top,O2,N2,SlagRate,Pellet_day,Pellet_cum,Pellet_rate_day,Pellet_rate_cum,scrap_day,scrap_cum,fuel_rate_day,fuel_rate_cum,o2_enrichment_day,o2_enrichment_cum,temp_day,temp_cum
4/13/2023,I,11,455,480,1.605,1.485,72,73,1146,156,0.550,0.020,0.051,80.65,81.66,1.86,,2393,28789,,193,2351,2886,36116,1090,13817,64,921,26.74,31.99,1103,13491,0.035,0.051,,4080,,384,0,0,0,0,0,0,,,,,,
4/13/2023,IV,8,479,525,1.489,1.350,71,73,944,160,0.840,0.040,0.034,84.42,84.77,1.39,,2156,25421,,182,2155,2622,31824,1032,13325,50,701,23.19,27.58,1055,11828,0.027,0.046,,2361,,373,0,0,0,0,0,0,,,,,,
4/13/2023,TOT,32,434,439,1.931,1.759,73,72,,439,,,,131.52,128.60,,,12378,146546,,1628,18846,15782,186382,5377,64945,427,5539,34.50,37.80,5979,54993,,,,,,,0,18865,0,7,0,0,,,,,,
4/13/2023,V,13,416,403,2.256,2.047,73,71,1120,123,0.920,0.030,0.023,160.05,155.30,1.53,,7829,92336,,1253,14340,10274,118442,3255,37803,313,3917,39.98,42.42,3821,29674,0.023,0.038,,26767,,402,0,18865,0,11,0,0,,,,,,
4/14/2023,I,10,482,477,1.547,1.500,73,73,1144,155,0.670,0.030,0.036,82.79,81.18,,,2307,31314,,191,2542,2894,39010,1113,14930,55,976,23.84,31.17,1082,14573,0.032,0.050,,3485,,385,0,0,0,0,0,0,,,,,,
4/14/2023,IV,9,474,513,1.597,1.386,71,73,872,167,0.720,0.030,0.038,87.80,83.91,,,2312,28102,,203,2358,2745,34569,1096,14421,51,752,22.06,26.76,1136,12964,0.037,0.049,,2702,,378,0,0,0,0,0,0,,,,,,
4/14/2023,TOT,34,424,433,1.979,1.809,73,72,,444,,,,125.38,125.93,,,12681,162278,,1590,20436,15967,202349,5382,70327,439,5978,34.62,36.84,6039,61032,,,,,,,0,18865,0,7,0,0,,,,,,
4/14/2023,V,15,394,398,2.323,2.117,73,71,1145,122,0.800,0.030,0.024,148.35,151.04,,,8062,102862,,1196,15536,10328,128770,3173,40976,333,4250,41.30,41.32,3821,33495,0.023,0.038,,26804,,406,0,18865,0,10,0,0,,,,,,
4/15/2023,I,10,502,480,1.433,1.496,71,73,1148,163,0.830,0.040,0.039,86.10,81.49,1.47,,2137,33451,,184,2726,2753,41763,1140,16070,22,998,10.29,29.83,1114,15687,0.035,0.048,,3858,,380,0,0,0,0,0,0,,,,,,
4/15/2023,IV,9,456,515,1.631,1.403,71,73,967,162,0.720,0.040,0.042,77.93,83.45,1.16,,2361,30463,,184,2542,2569,37138,1077,15498,4,756,1.69,24.82,1054,14018,0.032,0.042,,2854,,375,0,0,0,0,0,0,,,,,,
